"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5(3)(a)C","5(3)(a)S","5(3)(b)","5(4)(a)","5(4)(b)","5(5)(b)","5(6)","5(7)","7(1)(b&c)","7(3)","8(2)","10(2)(a)Q","10(2)(a)T","10(2)(b)","11(2)","11(2)F","12(2)","12(2)C","12(2)E","12(A)","13(4)","13(5)","14","16(2)","21(3)","25B(5)","27","29"
"China","Seychelles","Original","1999","2003","In Force","0.38","0.31","0.44","0.38","0.35","12","YES","12","YES","YES","NO","NO","YES","NO","NO","NO","5","","5","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Ireland","Original","2000","2001","In Force","0.27","0.33","0.22","0.25","0.24","6","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","6","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","South Africa","Original","2000","2002","In Force","0.37","0.3","0.31","0.5","0.35","12","YES","12","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","10","10","10","10","7","0","YES","YES","YES","NO","YES","NO","NO","NA"
"China","Moldova","Original","2000","2002","In Force","0.39","0.34","0.31","0.5","0.35","12","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","5","25","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Qatar","Original","2001","2009","In Force","0.36","0.38","0.2","0.5","0.32","9","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","YES","NO","NO","NO","NA"
"China","Cuba","Original","2001","2004","In Force","0.27","0.25","0.44","0.13","0.24","12","YES","12","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","7.5","7.5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"China","Venezuela","Original","2001","2005","In Force","0.34","0.31","0.33","0.38","0.32","9","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","5","10","10","10","5","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"China","Kazakhstan","Original","2001","2004","In Force","0.44","0.38","0.44","0.5","0.41","12","YES","12","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","YES","NO","NO","NO","NA"
"China","Oman","Original","2002","2003","In Force","0.42","0.31","0.45","0.5","0.44","9","YES","9","YES","YES","NO","NO","YES","NO","YES","NO","5","","5","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Tunisia","Original","2002","2004","In Force","0.38","0.41","0.47","0.25","0.41","6","YES","NO","YES","YES","NO","YES","YES","NO","YES","NO","8","","8","10","10","10","10","10","5","NO","NO","YES","NO","NO","NO","NO","NA"
"China","Iran","Original","2002","2004","In Force","0.4","0.38","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Greece","Original","2002","null","In Force","0.3","0.34","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Kyrgyzstan","Original","2002","2004","In Force","0.44","0.38","0.44","0.5","0.41","12","YES","12","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Morocco","Original","2002","2007","In Force","0.53","0.38","0.72","0.5","0.59","6","YES","6","YES","YES","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","YES","NO","NO","NO","NA"
"China","Trinidad and Tobago","Original","2003","2005","In Force","0.35","0.34","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Albania","China","Original","2004","2006","In Force","0.36","0.38","0.45","0.25","0.32","9","YES","9","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Georgia","Original","2005","2006","In Force","0.16","0.25","0.09","0.14","0.13","6","NO","NO","YES","YES","NO","NO","NO","NO","","NO","0","50","10","10","10","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"China","Mexico","Original","2005","2007","In Force","0.43","0.31","0.34","0.63","0.47","6","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","5","","5","10","10","10","10","10","0","YES","YES","YES","YES","NO","NO","NO","LOB"
"China","Saudi Arabia","Original","2006","2007","In Force","0.43","0.31","0.47","0.5","0.47","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","5","","5","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"Algeria","China","Original","2006","2008","In Force","0.26","0.31","0.09","0.38","0.24","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","25","10","7","7","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Tajikistan","Original","2008","2010","In Force","0.29","0.29","0.31","0.25","0.24","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Czechia","Original","2009","2012","In Force","0.25","0.31","0.31","0.13","0.18","12","YES","9","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","7.5","7.5","10","10","10","0","NO","YES","NO","NO","NO","NO","NO","PPT"
"China","Turkmenistan","Original","2009","2011","In Force","0.34","0.34","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Finland","Original","2010","2011","In Force","0.48","0.33","0.59","0.5","0.53","6","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","5","25","10","10","10","10","10","7","0","YES","YES","YES","NO","YES","NO","NO","NA"
"China","Malta","Original","2010","2012","In Force","0.38","0.33","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","7","0","YES","YES","YES","NO","NO","NO","YES","NA"
"China","Syria","Original","2010","2012","In Force","0.27","0.34","0.33","0.13","0.21","9","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"China","Denmark","Original","2012","2013","In Force","0.38","0.33","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","7","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Ecuador","Original","2013","2015","In Force","0.27","0.25","0.31","0.25","0.24","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","10","0","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","LOB"
"China","Netherlands","Original","2013","2015","In Force","0.42","0.33","0.44","0.5","0.41","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","6","0","YES","YES","YES","NO","YES","NO","YES","NA"
"China","Switzerland","Original","2013","2015","In Force","0.38","0.33","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","9","9","9","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","France","Original","2013","2015","In Force","0.38","0.33","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","6","0","YES","YES","YES","NO","NO","NO","YES","PPT"
"China","Germany","Original","2014","2017","In Force","0.38","0.33","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","6","0","YES","YES","YES","NO","NO","NO","YES","PPT"
"China","Zimbabwe","Original","2015","2017","In Force","0.31","0.25","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","2.5","25","7.5","7.5","7.5","7.5","7.5","7.5","0","YES","YES","NO","NO","NO","NO","NO","NA"
"China","Romania","Original","2016","2018","In Force","0.22","0.09","0.31","0.25","0.24","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","3","","3","3","0","3","3","3","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Cambodia","China","Original","2016","2019","In Force","0.48","0.5","0.33","0.63","0.5","9","YES","NO","YES","YES","YES","NO","NO","NO","NO","YES","10","","10","10","10","10","10","10","10","YES","NO","YES","YES","YES","NO","NO","NA"
"China","New Zealand","Original","2019","2020","In Force","0.4","0.38","0.31","0.5","0.35","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","YES","YES","NO","YES","NO","NO","PPT"
"China","United States","Amended by protocol","1986","1987","In Force","0.52","0.36","0.47","0.71","0.56","6","YES","6","YES","YES","NO","NO","YES","NO","YES","","10","","10","10","10","10","10","7","0","YES","YES","YES","NO","YES","NO","NO","LOB"
"China","South Korea","Amended by protocol","2006","2006","In Force","0.35","0.34","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Mauritius","Amended by protocol","2006","2007","In Force","0.38","0.31","0.44","0.38","0.35","12","YES","12","YES","YES","NO","NO","YES","NO","NO","NO","5","","5","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Singapore","Amended by protocol","2010","2011","In Force","0.43","0.31","0.47","0.5","0.47","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","7","10","10","6","0","YES","YES","YES","NO","YES","NO","NO","NA"
"China","Latvia","Amended by protocol","2011","2013","In Force","0.29","0.31","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","7","7","7","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Uzbekistan","Amended by protocol","2011","2011","In Force","0.4","0.38","0.31","0.5","0.35","12","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","United Kingdom","Amended by protocol","2013","2014","In Force","0.38","0.33","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","6","0","YES","YES","YES","NO","NO","NO","NO","NA"
"China","Estonia","Amended by protocol","2014","2014","In Force","0.3","0.34","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"China","Indonesia","Amended by protocol","2015","2017","In Force","0.61","0.38","0.97","0.5","0.71","6","YES","6","NO","NO","YES","YES","YES","NO","NO","YES","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"China","Hong Kong","Amended by protocol","2015","2015","In Force","0.41","0.27","0.47","0.5","0.47","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","5","25","10","7","7","7","7","7","0","YES","YES","NO","NO","YES","NO","NO","PARTIAL"
"China","Russia","Amended by protocol","2015","2016","In Force","0.23","0.17","0.28","0.25","0.24","18","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","0","0","6","6","6","0","YES","NO","YES","NO","NO","NO","NO","LOB"
"China","Pakistan","Amended by protocol","2016","2017","In Force","0.76","0.56","0.84","0.88","0.88","6","YES","NO","NO","NO","YES","YES","YES","YES","YES","NO","10","","10","10","10","12.5","12.5","12.5","12.5","YES","YES","YES","YES","YES","NO","NO","NA"
"China","Macau","Amended by protocol","2016","2016","In Force","0.42","0.29","0.47","0.5","0.47","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","5","25","10","10","7","7","7","7","0","YES","YES","YES","NO","NO","NO","NO","PARTIAL"
"China","Sweden","Amended by protocol","2017","2016","In Force","0.53","0.36","0.47","0.75","0.59","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","6","0","YES","YES","YES","YES","YES","NO","NO","NA"
"China","Portugal","Amended by protocol","2017","2017","In Force","0.36","0.38","0.34","0.38","0.35","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","YES","NO","NO","NO","NA"
"China","India","Amended by protocol","2018","2020","In Force","0.66","0.5","0.84","0.63","0.76","6","YES","6","NO","NO","YES","NO","YES","YES","NO","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","NO","YES","NO","NO","PPT"
"DR Congo","South Africa","Original","2005","2013","In Force","0.41","0.38","0.34","0.5","0.41","6","YES","6","YES","YES","NO","NO","NO","NO","YES","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","YES","NA"
"Republic of the Congo","France","Original","1987","1989","In Force","0.31","0.34","0.22","0.38","0.29","6","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","15","10","20","0","0","15","15","0","0","YES","YES","YES","NO","NO","NO","YES","NA"
"Republic of the Congo","Italy","Original","2003","2015","In Force","0.29","0.27","0.22","0.38","0.29","6","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","8","10","15","0","0","10","10","10","0","YES","YES","YES","NO","NO","NO","YES","NA"
"Republic of the Congo","Mauritius","Original","2010","2015","In Force","0.18","0.09","0.31","0.13","0.18","12","YES","12","YES","YES","NO","NO","NO","NO","YES","NO","0","25","5","5","5","0","0","0","0","NO","NO","NO","NO","NO","YES","YES","NA"
"Croatia","Sri Lanka","Pre-independence","1985","1987","In Force","0.45","0.41","0.58","0.38","0.44","9","NO","9","NO","NO","YES","NO","NO","NO","NO","YES","12.5","","12.5","10","10","10","10","10","0","NO","YES","YES","NO","NO","NO","NO","NA"
"Croatia","North Macedonia","Original","1994","1997","In Force","0.35","0.38","0.31","0.38","0.29","12","YES","12","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"Croatia","South Africa","Original","1996","1998","In Force","0.2","0.16","0.31","0.13","0.18","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","0","0","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Croatia","Iran","Original","2003","2009","In Force","0.34","0.22","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","25","10","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Croatia","Moldova","Original","2005","2007","In Force","0.28","0.28","0.44","0.13","0.24","12","YES","3","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","5","5","10","10","10","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Croatia","Morocco","Original","2008","2013","In Force","0.57","0.36","0.96","0.38","0.64","7","YES","3","NO","NO","YES","YES","YES","NO","YES","NO","8","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Croatia","Syria","Original","2008","2010","In Force","0.27","0.37","0.33","0.13","0.21","9","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","5","10","10","10","10","12","12","12","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Armenia","Croatia","Original","2009","2011","In Force","0.2","0.25","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","25","10","10","10","5","5","5","0","YES","NO","NO","NO","YES","NO","NO","NA"
"Croatia","Turkmenistan","Original","2014","2016","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Croatia","Kosovo","Original","2017","2018","In Force","0.14","0.22","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","5","5","5","5","5","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Croatia","Vietnam","Original","2018","2020","In Force","0.7","0.5","0.97","0.63","0.82","6","YES","6","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","NO","YES","NO","NO","NA"
"Albania","Croatia","Amended by MLI","2019","2021","In Force","0.44","0.38","0.69","0.25","0.41","12","YES","12","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Croatia","Georgia","Amended by MLI","2017","2021","In Force","0.13","0.19","0.08","0.13","0.09","9","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","NO","NO","NO","NO","NO","PPT"
"Croatia","India","Amended by MLI","2017","2021","In Force","0.48","0.5","0.56","0.38","0.47","12","YES","NO","YES","YES","YES","YES","YES","NO","NO","NO","5","10","15","10","10","10","10","10","10","YES","YES","YES","NO","NO","NO","YES","PPT"
"Croatia","Indonesia","Amended by MLI","2017","2021","In Force","0.45","0.38","0.72","0.25","0.47","6","YES","3","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Croatia","Jordan","Amended by MLI","2019","2021","In Force","0.43","0.34","0.58","0.38","0.44","9","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","PPT"
"Croatia","Mauritius","Amended by MLI","2017","2021","In Force","0.1","0","0.19","0.13","0.12","12","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","0","0","0","0","0","0","0","NO","NO","YES","NO","NO","NO","NO","PPT"
"Croatia","Ukraine","Amended by MLI","2018","2021","In Force","0.3","0.34","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Cuba","Vietnam","Original","2002","2004","In Force","0.7","0.38","0.97","0.75","0.82","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","5","70","15","10","10","10","10","10","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Cuba","Venezuela","Original","2003","2006","In Force","0.44","0.34","0.22","0.75","0.47","6","NO","NO","YES","YES","NO","NO","YES","YES","YES","NO","10","25","15","10","10","5","5","5","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Czechia","Ethiopia","Original","2007","2008","In Force","0.49","0.38","0.59","0.5","0.53","6","YES","6","YES","YES","NO","YES","YES","YES","NO","NO","10","","10","10","10","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","OTHER"
"Czechia","Mongolia","Original","1997","1999","In Force","0.48","0.38","0.94","0.13","0.47","12","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Nigeria","Pre-independence","1989","1991","In Force","0.45","0.55","0.23","0.57","0.38","3","YES","NO","YES","YES","NO","NO","NO","YES","YES","","12.5","10","15","15","15","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Czechia","Philippines","Original","2000","2004","In Force","0.42","0.41","0.34","0.5","0.41","6","YES","6","YES","YES","NO","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","OTHER"
"Czechia","Sri Lanka","Pre-independence","1978","1979","In Force","0.27","0.33","0.22","0.25","0.23","6","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","15","","15","10","0","10","0","10","0","","","NO","","","NO","NO","NA"
"Czechia","Vietnam","Original","1997","1999","In Force","0.57","0.38","0.97","0.38","0.65","6","YES","6","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Tunisia","Pre-independence","1990","1991","In Force","0.29","0.64","0.09","0.13","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","25","15","12","12","15","5","15","15","NO","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Thailand","Original","1994","1996","In Force","0.58","0.4","0.84","0.5","0.65","6","YES","6","NO","NO","YES","NO","YES","NO","YES","YES","10","","10","10","10","15","5","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Czechia","Indonesia","Original","1994","1997","In Force","0.6","0.47","0.84","0.5","0.65","6","YES","3","NO","NO","NO","YES","YES","YES","YES","NO","10","20","15","12.5","12.5","12.5","12.5","12.5","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Albania","Czechia","Original","1995","1997","In Force","0.33","0.54","0.47","0","0.31","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","25","15","12","12","10","5","10","10","NO","NO","NO","NO","","NO","NO","NA"
"Czechia","Venezuela","Original","1996","1998","In Force","0.75","0.52","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","5","15","10","10","10","12","12","12","12","YES","YES","YES","NO","YES","NO","NO","NA"
"Czechia","South Africa","Original","1996","1998","In Force","0.27","0.25","0.31","0.25","0.24","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","0","0","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Lebanon","Original","1997","2001","In Force","0.2","0.17","0.31","0.13","0.18","12","YES","12","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","0","0","10","10","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Morocco","Original","2001","2007","In Force","0.45","0.38","0.59","0.38","0.47","6","YES","6","YES","YES","NO","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Mexico","Original","2002","2003","In Force","0.53","0.38","0.72","0.5","0.59","6","YES","6","NO","NO","NO","YES","NO","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","YES","NO","NO","YES","NO","NO","NA"
"Czechia","North Korea","Original","2005","2006","In Force","0.31","0.38","0.31","0.25","0.24","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Czechia","Jordan","Original","2006","2008","In Force","0.57","0.38","0.84","0.5","0.65","6","YES","6","NO","NO","YES","NO","YES","YES","YES","NO","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","PPT"
"Czechia","Tajikistan","Original","2006","2008","In Force","0.18","0.23","0.31","0","0.12","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","7","0","10","10","10","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Czechia","Syria","Original","2008","2010","In Force","0.41","0.4","0.72","0.13","0.41","6","YES","6","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","12","12","12","0","NO","NO","YES","NO","NO","NO","NO","PPT"
"Armenia","Czechia","Original","2008","2010","In Force","0.47","0.32","0.72","0.38","0.53","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","10","","10","10","5","10","5","10","0","YES","NO","NO","NO","YES","NO","NO","PPT"
"Colombia","Czechia","Original","2012","2016","In Force","0.55","0.44","0.97","0.25","0.65","6","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","5","25","15","10","0","10","10","10","10","NO","YES","NO","NO","YES","NO","NO","PPT"
"Czechia","Iran","Original","2015","2017","In Force","0.34","0.19","0.69","0.13","0.35","12","YES","6","NO","NO","NO","NO","YES","NO","NO","NO","5","","5","5","0","8","8","8","0","NO","YES","NO","NO","NO","NO","NO","NA"
"Czechia","Turkmenistan","Original","2016","2019","In Force","0.56","0.38","0.94","0.38","0.59","12","YES","6","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","NO","YES","YES","NO","NO","NO","NO","OTHER"
"Czechia","Moldova","Amended by protocol","2004","2006","In Force","0.29","0.31","0.31","0.25","0.24","12","YES","3","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Czechia","Uzbekistan","Amended by protocol","2011","2013","In Force","0.56","0.25","0.81","0.63","0.65","12","YES","6","NO","NO","YES","YES","NO","YES","YES","NO","5","25","10","5","0","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","OTHER"
"Czechia","Egypt","Amended by MLI","2017","2021","In Force","0.61","0.5","0.84","0.5","0.65","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","5","25","15","15","15","15","15","15","0","YES","YES","YES","YES","NO","NO","NO","PPT"
"Czechia","Georgia","Amended by MLI","2017","2020","In Force","0.2","0.26","0.34","0","0.18","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","8","8","10","0","5","0","NO","NO","NO","NO","NO","NO","NO","PPT"
"Czechia","India","Amended by MLI","2017","2020","In Force","0.57","0.5","0.84","0.38","0.65","6","YES","NO","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","NO","NO","NO","YES","PPT"
"Czechia","Pakistan","Amended by MLI","2017","2021","In Force","0.7","0.5","0.97","0.63","0.82","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","5","25","15","10","10","10","10","10","10","NO","YES","YES","NO","YES","NO","NO","PPT"
"Denmark","Ghana","Original","2014","2016","In Force","0.28","0.39","0.2","0.25","0.26","9","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","10","15","8","8","8","8","0","8","YES","NO","YES","NO","NO","NO","YES","NA"
"Denmark","Kenya","Original","1972","1972","In Force","0.7","1","0.84","0.25","0.59","6","YES","NO","NO","NO","YES","YES","YES","NO","NO","YES","20","25","30","20","20","20","20","20","20","NO","NO","YES","NO","NO","NO","NO","NA"
"Denmark","Philippines","Original","1995","1997","In Force","0.56","0.47","0.59","0.63","0.59","6","YES","6","YES","YES","YES","NO","YES","YES","NO","YES","10","25","15","10","10","15","15","15","0","YES","NO","YES","NO","YES","NO","YES","NA"
"Denmark","Sri Lanka","Original","1981","1980","In Force","0.51","0.44","0.59","0.5","0.53","6","NO","6","YES","NO","NO","YES","YES","YES","YES","YES","15","","15","10","10","10","10","10","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Denmark","Tanzania","Original","1976","1977","In Force","0.4","0.84","0.09","0.25","0.24","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","15","","15","12.5","12.5","20","20","20","20","NO","NO","YES","NO","NO","NO","NO","NA"
"Denmark","Uganda","Original","2000","2002","In Force","0.44","0.49","0.47","0.38","0.47","6","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","10","25","15","10","10","10","10","0","10","NO","NO","YES","NO","YES","NO","YES","NA"
"Denmark","Vietnam","Original","1995","1997","In Force","0.66","0.39","0.84","0.75","0.76","6","YES","6","NO","NO","YES","NO","YES","YES","YES","NO","10","25","15","10","10","5","15","5","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Denmark","Zambia","Original","1973","1972","In Force","0.28","0.5","0.22","0.13","0.18","6","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","15","","15","10","10","15","15","15","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Denmark","Trinidad and Tobago","Original","1969","1966","In Force","0.34","0.56","0.22","0.25","0.31","6","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","10","25","20","15","15","15","0","15","5","","","YES","","","NO","NO","NA"
"Denmark","Tunisia","Original","1981","1982","In Force","0.5","0.53","0.72","0.25","0.47","6","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","15","","15","12","12","15","15","15","0","NO","NO","YES","NO","NO","NO","NO","NA"
